#    L    TT             EE             BB             TE          
   323    0.34842E+04    0.15079E+02    0.39846E-01    0.12439E+03
   324    0.34489E+04    0.15282E+02    0.40004E-01    0.12366E+03
   325    0.34140E+04    0.15481E+02    0.40161E-01    0.12291E+03
   326    0.33792E+04    0.15681E+02    0.40317E-01    0.12210E+03
   327    0.33447E+04    0.15881E+02    0.40473E-01    0.12125E+03
   328    0.33104E+04    0.16078E+02    0.40628E-01    0.12038E+03
   329    0.32764E+04    0.16275E+02    0.40783E-01    0.11945E+03
   330    0.32426E+04    0.16470E+02    0.40937E-01    0.11849E+03
   331    0.32092E+04    0.16664E+02    0.41091E-01    0.11749E+03
   332    0.31760E+04    0.16858E+02    0.41244E-01    0.11646E+03
   333    0.31431E+04    0.17049E+02    0.41396E-01    0.11539E+03
   334    0.31105E+04    0.17240E+02    0.41548E-01    0.11428E+03
   335    0.30782E+04    0.17428E+02    0.41700E-01    0.11313E+03
   336    0.30462E+04    0.17615E+02    0.41851E-01    0.11195E+03
   337    0.30146E+04    0.17800E+02    0.42002E-01    0.11072E+03
   338    0.29833E+04    0.17983E+02    0.42152E-01    0.10947E+03
   339    0.29524E+04    0.18165E+02    0.42302E-01    0.10818E+03
   340    0.29218E+04    0.18345E+02    0.42451E-01    0.10686E+03
   341    0.28914E+04    0.18522E+02    0.42601E-01    0.10550E+03
   342    0.28616E+04    0.18699E+02    0.42750E-01    0.10410E+03
   343    0.28320E+04    0.18872E+02    0.42898E-01    0.10268E+03
   344    0.28030E+04    0.19043E+02    0.43046E-01    0.10122E+03
   345    0.27742E+04    0.19211E+02    0.43194E-01    0.99731E+02
   346    0.27458E+04    0.19378E+02    0.43342E-01    0.98218E+02
   347    0.27178E+04    0.19542E+02    0.43490E-01    0.96666E+02
   348    0.26903E+04    0.19703E+02    0.43637E-01    0.95084E+02
   349    0.26631E+04    0.19862E+02    0.43784E-01    0.93471E+02
   350    0.26364E+04    0.20017E+02    0.43931E-01    0.91834E+02
   351    0.26102E+04    0.20171E+02    0.44078E-01    0.90167E+02
   352    0.25843E+04    0.20322E+02    0.44225E-01    0.88469E+02
   353    0.25589E+04    0.20469E+02    0.44372E-01    0.86756E+02
   354    0.25338E+04    0.20613E+02    0.44518E-01    0.85005E+02
   355    0.25093E+04    0.20755E+02    0.44665E-01    0.83231E+02
   356    0.24852E+04    0.20894E+02    0.44812E-01    0.81442E+02
   357    0.24615E+04    0.21029E+02    0.44958E-01    0.79623E+02
   358    0.24383E+04    0.21160E+02    0.45105E-01    0.77789E+02
   359    0.24155E+04    0.21289E+02    0.45251E-01    0.75926E+02
   360    0.23933E+04    0.21414E+02    0.45398E-01    0.74044E+02
   361    0.23714E+04    0.21536E+02    0.45545E-01    0.72140E+02
   362    0.23501E+04    0.21655E+02    0.45692E-01    0.70216E+02
   363    0.23292E+04    0.21771E+02    0.45839E-01    0.68275E+02
   364    0.23088E+04    0.21881E+02    0.45987E-01    0.66313E+02
   365    0.22888E+04    0.21989E+02    0.46134E-01    0.64337E+02
   366    0.22694E+04    0.22094E+02    0.46282E-01    0.62343E+02
   367    0.22505E+04    0.22193E+02    0.46430E-01    0.60334E+02
   368    0.22319E+04    0.22290E+02    0.46578E-01    0.58312E+02
   369    0.22140E+04    0.22383E+02    0.46727E-01    0.56273E+02
   370    0.21965E+04    0.22471E+02    0.46876E-01    0.54225E+02
   371    0.21795E+04    0.22556E+02    0.47025E-01    0.52163E+02
